Date,Open,High,Low,Close  
2020-07-14 00:00:00-04:00,28.069.418,28.109.096,27.680.556,27.958.315
2020-07-15 00:00:00-04:00,28.561.441,28.569.377,28.148.773,28.347.170
2020-07-16 00:00:00-04:00,28.251.940,28.283.682,27.982.117,28.251.940
2020-07-17 00:00:00-04:00,28.458.272,28.831.263,28.355.104,28.767.773
2020-07-20 00:00:00-04:00,29.751.834,29.855.002,28.823.328,28.966.177
2020-07-21 00:00:00-04:00,29.315.359,29.426.463,28.982.049,29.116.959
2020-07-22 00:00:00-04:00,30.339.092,30.735.890,29.775.639,30.600.977
2020-07-23 00:00:00-04:00,31.132.689,31.283.470,30.299.413,30.481.939
2020-07-24 00:00:00-04:00,30.180.375,30.275.608,29.624.861,29.886.745
2020-07-27 00:00:00-04:00,29.648.667,29.958.171,29.545.502,29.791.515
2020-07-28 00:00:00-04:00,30.585.111,31.219.987,30.204.187,30.966.038
2020-07-29 00:00:00-04:00,31.188.234,31.307.273,30.513.677,31.156.488
2020-07-30 00:00:00-04:00,30.675.685,31.204.577,30.611.578,31.044.306
2020-07-31 00:00:00-04:00,30.675.683,31.052.317,30.339.115,30.835.951
2020-03-08 00:00:00-04:00,30.940.129,30.980.197,30.627.603,30.731.779
2020-04-08 00:00:00-04:00,30.699.719,30.996.218,30.523.422,30.763.826
2020-05-08 00:00:00-04:00,30.827.948,30.876.030,30.555.491,30.811.922
2020-06-08 00:00:00-04:00,31.068.348,31.332.795,30.571.512,30.667.675
2020-07-08 00:00:00-04:00,30.691.720,30.948.151,30.579.530,30.811.922
2020-10-08 00:00:00-04:00,30.892.042,30.980.192,30.659.650,30.763.826
2020-11-08 00:00:00-04:00,30.900.060,30.916.090,30.186.862,30.283.022
2020-12-08 00:00:00-04:00,30.315.077,30.892.047,30.299.048,30.715.750
2020-08-13 00:00:00-04:00,30.507.408,30.595.555,30.355.150,30.587.542
2020-08-14 00:00:00-04:00,30.459.317,30.763.830,30.395.210,30.499.386
2020-08-17 00:00:00-04:00,30.483.361,30.779.858,30.411.237,30.731.779
2020-08-18 00:00:00-04:00,30.811.913,30.819.926,30.587.534,30.739.792
2020-08-19 00:00:00-04:00,30.835.958,30.940.134,30.547.474,30.659.660
2020-08-20 00:00:00-04:00,30.595.549,31.084.375,30.555.483,31.028.280
2020-08-21 00:00:00-04:00,31.180.531,31.252.655,30.908.074,31.156.492
2020-08-24 00:00:00-04:00,31.268.690,31.284.716,30.884.040,31.124.445
2020-08-25 00:00:00-04:00,30.860.000,30.900.066,30.411.243,30.779.863
2020-08-26 00:00:00-04:00,30.603.562,30.667.670,30.178.844,30.491.373
2020-08-27 00:00:00-04:00,30.419.259,30.451.314,30.194.883,30.339.125
2020-08-28 00:00:00-04:00,30.347.127,30.499.385,29.970.494,30.379.183
2020-08-31 00:00:00-04:00,30.323.090,30.467.332,30.050.630,30.283.022
2020-01-09 00:00:00-04:00,30.283.027,30.307.069,29.257.299,29.553.799
2020-02-09 00:00:00-04:00,29.465.643,29.890.358,29.169.144,29.810.225
2020-03-09 00:00:00-04:00,29.946.459,30.042.622,28.928.744,29.169.149
2020-04-09 00:00:00-04:00,29.241.271,29.353.460,28.744.432,29.137.094
2020-08-09 00:00:00-04:00,29.273.321,29.337.429,28.592.175,28.792.511
2020-09-09 00:00:00-04:00,29.081.002,29.369.489,28.960.800,28.992.855
2020-10-09 00:00:00-04:00,29.008.871,29.105.031,28.512.032,28.568.127
2020-11-09 00:00:00-04:00,28.640.250,28.936.750,28.407.862,28.904.697
2020-09-14 00:00:00-04:00,29.137.090,30.082.684,29.072.982,29.657.969
2020-09-15 00:00:00-04:00,29.802.211,29.930.427,29.497.698,29.617.901
2020-09-16 00:00:00-04:00,29.874.338,29.898.380,29.425.584,29.473.665
2020-09-17 00:00:00-04:00,29.473.666,29.625.921,29.289.352,29.505.718
2020-09-18 00:00:00-04:00,29.473.657,29.706.046,29.305.373,29.353.455
2020-09-21 00:00:00-04:00,29.145.105,29.233.255,28.351.770,28.864.632
2020-09-22 00:00:00-04:00,28.696.348,29.113.054,28.640.254,29.048.943
2020-09-23 00:00:00-04:00,29.121.063,29.153.119,28.824.567,28.848.606
2020-09-24 00:00:00-04:00,28.808.539,28.880.660,28.479.987,28.656.284
2020-09-25 00:00:00-04:00,28.479.987,28.968.810,28.463.961,28.888.676
2020-09-28 00:00:00-04:00,28.976.824,29.313.393,28.976.824,29.161.135
2020-09-29 00:00:00-04:00,29.193.189,29.281.336,28.872.647,28.984.837
2020-09-30 00:00:00-04:00,29.064.972,29.617.902,29.048.942,29.409.550
2020-01-10 00:00:00-04:00,29.577.832,29.722.076,28.976.819,29.145.103
2020-02-10 00:00:00-04:00,28.896.689,29.377.499,28.872.647,29.153.120
2020-05-10 00:00:00-04:00,29.273.322,29.553.796,29.121.064,29.449.619
2020-06-10 00:00:00-04:00,29.649.957,29.673.999,28.920.729,28.984.837
2020-07-10 00:00:00-04:00,29.056.962,29.321.406,28.872.648,29.225.243
2020-08-10 00:00:00-04:00,29.329.420,29.794.203,29.257.299,29.561.811
2020-09-10 00:00:00-04:00,29.513.725,29.746.116,29.321.401,29.481.672
2020-12-10 00:00:00-04:00,29.409.555,29.794.205,29.225.245,29.505.718
2020-10-13 00:00:00-04:00,29.385.508,29.754.129,29.353.456,29.569.818
2020-10-14 00:00:00-04:00,29.657.970,29.890.358,29.305.376,29.537.767
2020-10-15 00:00:00-04:00,29.353.462,29.441.608,29.177.164,29.289.351
2020-10-16 00:00:00-04:00,29.706.049,30.547.470,29.665.984,30.411.238
2020-10-19 00:00:00-04:00,30.787.870,31.132.451,30.162.815,30.291.031
2020-10-20 00:00:00-04:00,30.347.127,30.363.156,29.930.425,30.042.614
2020-10-21 00:00:00-04:00,29.930.430,30.010.564,29.698.038,29.714.067
2020-10-22 00:00:00-04:00,29.714.065,30.106.725,29.673.997,29.994.535
2020-10-23 00:00:00-04:00,30.395.210,30.675.684,30.170.832,30.595.547
2020-10-26 00:00:00-04:00,30.347.131,30.467.333,30.034.605,30.387.199
2020-10-27 00:00:00-04:00,29.682.010,30.547.469,29.545.781,29.994.535
2020-10-28 00:00:00-04:00,29.489.688,29.754.132,28.303.689,28.407.866
2020-10-29 00:00:00-04:00,28.431.906,28.560.122,27.726.717,28.271.635
2020-10-30 00:00:00-04:00,28.239.579,28.471.970,27.919.037,28.431.902
2020-02-11 00:00:00-05:00,28.792.512,29.048.943,28.479.986,29.032.917
2020-03-11 00:00:00-05:00,29.193.191,29.345.445,28.912.717,29.000.864
2020-04-11 00:00:00-05:00,29.698.042,30.547.476,29.617.908,29.914.408
2020-05-11 00:00:00-05:00,30.157.281,30.197.758,29.461.031,29.461.031
2020-06-11 00:00:00-05:00,29.461.036,29.728.203,29.218.159,29.469.131
2020-09-11 00:00:00-05:00,33.889.493,33.994.740,31.072.114,31.735.979
2020-10-11 00:00:00-05:00,32.747.972,32.820.835,31.136.885,31.314.995
2020-11-11 00:00:00-05:00,31.476.914,32.545.572,30.683.515,31.169.270
2020-12-11 00:00:00-05:00,30.991.156,31.039.732,30.149.181,30.400.154
2020-11-13 00:00:00-05:00,30.659.227,31.298.806,30.529.693,31.266.420
2020-11-16 00:00:00-05:00,30.651.139,30.724.001,29.833.450,30.222.055
2020-11-17 00:00:00-05:00,31.137.257,31.145.789,30.565.538,30.753.267
2020-11-18 00:00:00-05:00,31.512.707,31.930.826,30.975.121,30.992.188
2020-11-19 00:00:00-05:00,31.231.119,31.256.720,30.599.671,30.881.262
2020-11-20 00:00:00-05:00,31.316.450,31.836.969,31.094.588,31.316.450
2020-11-23 00:00:00-05:00,31.598.040,31.649.239,30.898.326,31.162.853
